word,sentiment
小时,-3.593850782
突然,-2.830444317
不知,-3.602920434
可不可以,-2.208567875
先,-2.378949474
牌子,-2.636236153
普通话,-1.896942022
开发,-2.85827753
相机,-3.000854533
指纹,-2.999539992
抽,-2.372054002
真香,-1.862148597
说实话,-2.085809283
雷总要,-2.350279751
鞋,-2.556626488
表示,-2.682044048
我雷,-2.326451114
超级,-3.288336767
十,-2.109792104
实现,-2.738248122
雷总送,-1.98199294
追逐,-2.240394718
买手机,-2.6943786
能力,-2.999204678
女生,-2.160461722
很想,-2.292041964
防水,-3.54781564
本来,-2.627660159
这是,-1.24110592
书架上,-2.671042166
跟着,-3.205370347
机会,-2.298697353
智能手机,-2.650836549
低调,-2.549102149
做好,-2.663324372
真心,-2.14232972
好奇,-2.018761187
大金牙,-1.684006429
第一款,-1.558871014
睡醒,-2.388925086
以下,-2.205685275
我想静静,-2.205510583
明天,-2.948517719
不敢,-3.982027565
变成,-3.36763487
牛仔裤,-2.608350672
霸气,-1.967608035
行,-2.391667691
老婆,-2.13278995
梦,-2.498452737
精神,-2.325687326
模仿,-2.495581116
声音,-2.916465596
暖,-2.496609359
花粉,-2.664971569
高考,-3.063239296
世界,-2.633711772
老是,-2.297608483
雷总帅,-1.181590313
过来,-3.083201605
看来,-2.04316699
属于,-3.340056494
房子,-2.857239075
色,-1.766896021
不够,-2.923160527
碉堡,-1.724936736
估计,-2.633289099
太帅,-1.594325919
毕业,-2.458503449
理由,-2.188019325
真好,-1.556872564
嘤,-2.637079753
主板,-2.820889159
红脸,-3.115711248
早日,-3.448187837
几年,-2.565937315
初心,-2.592517281
讲讲,-2.101162972
想到,-2.443249004
抄,-2.114517645
营销,-2.796546533
骁龙,-2.884006126
买过,-1.877593646
发展,-3.085315004
明星,-2.59303222
你老,-1.843482672
就要,-2.36820682
千万,-2.307320232
看起来,-1.783866712
俩,-3.093860618
四季,-1.384511796
提示,-3.677814283
小姐,-2.896414354
很久,-2.747314539
不爽,-2.339831584
黑屏,-2.736657207
电话,-3.666884657
归来,-3.366111245
仍,-3.122892681
憨笑,-2.499265627
居然,-2.89908753
屌丝,-1.605052417
见,-1.825225395
全部,-2.570704569
不得,-2.57062108
王源,-1.82954444
雷总米,-1.757317337
严重,-2.619118612
励志,-2.242298066
差点,-2.35871864
耐用,-1.776501983
我会,-1.40238199
不少,-2.527007696
账号,-2.279457491
五,-2.076007409
没什么,-1.89554384
刚刚,-1.697307504
亲自,-2.293809359
女生宿舍,-2.100621926
穿,-2.275708102
低,-2.370016984
目标,-1.810267714
超过,-2.184296207
一路,-2.498962247
特,-1.349129276
空调,-2.633010027
车,-3.157240103
过去,-2.651240296
麻烦,-2.204647333
算,-2.451632832
毕竟,-2.10680179
定价,-2.478723754
一件,-3.284209387
疑问,-2.122379016
看待,-1.772101263
做鬼脸,-1.906962962
唱歌,-2.045995994
演唱会,-2.323646412
接地,-1.886108041
不再,-2.020008837
小时候,-2.771474029
市场,-3.012389283
雷总有,-1.874168578
妈,-2.187414882
铁粉,-1.548156124
奶,-1.454299528
国内,-2.361070615
听雷,-1.878625663
加,-3.099885528
生日,-1.689571753
挺好用,-2.587203312
升级,-2.146088391
分享,-2.399006117
吊打,-1.976798871
拍照,-1.676457066
雷叔,-1.600070976
初中,-1.885239466
想过,-2.042621105
一种,-2.892250159
马,-1.663718119
辣鸡,-2.055974074
链,-3.090505678
研究,-2.392646122
经济,-3.376148216
留,-1.761777091
金山毒霸,-2.762289101
咯,-2.048753271
三克,-3.106776309
送给,-1.934725011
好不好,-1.84232624
比例,-2.060021903
创业者,-1.712124951
全家人,-1.964818746
家乡,-2.194244701
一家,-1.264122443
老年,-1.566145981
弄,-1.931919091
总会,-1.469372987
陪伴,-2.018594974
显示,-2.348461661
孔,-1.772890635
董,-2.6697155
认为,-2.527833819
做过,-2.063295565
岁月不饶人,-1.24111704
无限,-2.179872513
啊哟,-1.410110057
有品,-1.624267985
关心,-1.305233117
果断,-1.980172414
装修,-2.661182988
学霸,-1.82917973
雷总干,-1.538244251
区,-2.660178671
电器,-2.701640531
国货,-1.769238949
烫手,-2.076865287
最高,-2.605475498
雷总点,-1.380652439
一块,-2.729303088
运气,-2.381894801
回答,-1.726785256
丑,-1.849182166
厚道,-1.774188296
压力,-2.320372963
军叔,-1.87455799
罗永浩,-1.921160569
前置,-2.072336728
鲨,-2.205434146
后置,-2.414866831
镜头,-2.050585316
回,-2.565091246
慢慢,-2.274377336
激情,-3.169759974
花,-3.319281603
雷总为,-2.421022256
去年,-1.575083558
换个,-2.333407233
新手机,-2.107364442
心里,-1.533328837
区别,-1.752901139
点个,-1.87350154
情怀,-1.579862852
本人,-1.762355251
懂,-1.499858897
亿,-2.041700598
保养,-1.983935677
能够,-2.396672292
联系,-2.643706991
一亿,-2.43715092
个人,-2.060475095
无法,-1.772593108
超越,-1.600784201
越多越好,-1.566683468
孩子,-1.662703695
我能,-1.293854586
时代,-1.619818149
歌手,-1.531074158
管理,-2.331737329
不大,-1.394370177
打算,-2.274069107
难道,-1.676798592
电量,-2.189951264
完,-2.180174798
激动,-2.044739073
慢,-1.612060454
