,sentiment
又帅,1.0017848054241012
帅死,0.5287064248513871
刚,0.9345493969641707
可能,1.6482329949015522
里,1.7465131677219472
地方,1.341612991691826
一米,1.9420888337129827
偶像,1.0171202838911013
特别,1.1946413002280083
热乎,0.9613688570189315
叭,1.0407276325624721
陈,1.183586601349945
衣服,1.340918571240218
不行,0.9527174381665622
背景,1.4174871428590765
抢,0.9812852302127439
最帅,0.6455671996316388
路,1.204965093197539
日常,0.7825168457827602
愿意,0.989548405154776
魂,0.9649449408341954
身材,1.5518787654384751
生日,1.172734951944046
挺,1.0582877917146527
出息,0.7913528954196818
没过,1.617528396785009
记得,1.6310535313657777
仙女,0.9908323652812925
打脸,1.4639119301399521
脖子,0.9134270777394369
一眼,0.8621390252625284
我太爱,0.9056750138386737
精神,1.2454409753937885
遛个,0.5596137128931699
优秀,1.187011752452607
明星,1.4222501807031245
杨,1.2110938604568595
手,1.0343129676670069
矮,1.0524246896958709
生日快乐,1.6312825950068635
我来,0.9445303964778996
看着,1.1200317192534954
吃饭,1.0641703375294178
黑脸,1.4009460336667006
头,1.1773616286757997
疯,0.91508594715736
一模一样,0.9333846251698973
以后,1.5022734525508223
村,1.0249647409394786
链子,0.7579675795818742
这辈子,0.9312905229275645
心情,1.3264195328615347
做人,1.2160696158200754
事,1.0290487618436213
那种,1.1533955252090666
男孩子,0.9494200472544307
你家,0.9178715866969984
嘴,0.8037258031623327
万,1.342967911371032
丢,0.8139662074881591
娶,0.6406260885261339
擦肩而过,1.7334600607155672
怕,1.0622633682605502
爱死,0.6741621564452203
哇塞,0.7467593504734428
抓,0.9601034594573661
越,1.017620338043276
树,1.025197818671456
跑,1.4480336897810715
营业,0.7564528816047509
嫉妒,0.7812918142926639
耶耶,0.6413157005339422
期待,0.9871734940139492
人间,0.9615375293820405
最近,0.9945223798864339
作品,1.1328546556425625
太瘦,0.7253176131864445
甜,0.9128529798928887
开,0.903123586519609
心里,1.062142991098385
画质,1.2254851060903542
拉,0.875371864212293
啥时候,1.1583452245304424
很帅,0.7957830985333814
天呐,0.8327564379483146
女人,0.9694194074474247
带,1.0940126731174171
快来,0.8476115077901025
以前,1.0168104027183873
猪头,1.128680312385855
孩子,0.9617513609966714
喋喋,0.925516234280108
气质,1.1014172031090832
嘤,1.785078574759519
后面,0.9448311989490145
好多年,0.9731047313775936
来看我,0.5507670754765075
见,0.9336327070770292
拍成,1.5676600195428163
没错,0.6669496117024043
鸭,0.74926428237144
搭,0.7279842427388061
装,1.080151584321714
不愧,0.7212940688756091
饿,0.5894828148973459
依旧,0.7733393647330951
旁边,0.9708589141831916
理想,0.7986027677543812
做梦,0.9298888361084655
细犬,0.7109456760016324
想当,0.7674930543984606
快快,1.0861388888417849
看不看,1.1654446403298016
妈耶,0.6286535427584066
莫名,1.0261395069162185
我天,0.5642448093846115
其实,0.7003299337850721
有没有,0.943900961125741
妈妈,0.9878898067025628
逮,0.8257009552014514
小伙,1.089166704141583
起来,1.3195860427743697
看起来,1.0978123757294636
合适,1.5995685938309956
女孩,0.746361575212242
天天,0.7031324705360322
散步,0.8083259348565226
家,0.9735656484569375
大哥,0.4786375440048881
速度,0.8950594467099373
好久没,0.7031633403818537
缺,1.039608068251856
三岁,0.7993291610344422
热,0.9345281442802384
憨笑,0.8315748620218713
嗝,1.4399663051325748
饭,0.9392972228453019
阳光,1.0688473629751103
帅到,0.5047537303695615
大金牙,0.7888354494511771
见到,0.9025047408043854
杂志,0.752150573057982
多年,0.8205916087590683
不了,1.0155548851072431
姐妹,0.974857584929459
猫,0.9226335486732833
世界,1.2712249908501327
昨天,0.8877534114719312
无表情,1.5196685369194098
抱,0.8692694957674791
啵,1.1926938633787443
一点,1.1527612526291395
求,1.06940740861454
变,0.8228865107244621
爱好,0.9556278517082097
怎么回事,0.8302109458017513
想魂,0.6572544331894342
绝,0.846410119315506
发现,0.9990098941173132
情书,1.4238627258749446
对不起,0.8236280959223986
同学,0.5639973588994179
行,0.6938059196356672
接地,1.1169503594943935
气,1.1253034819930092
翻,1.121239188976382
细,0.8697183643283029
唯一,0.8280956732170599
撵,1.1291185952326093
有点像,0.5399831363400389
周杰伦,0.9462955726369359
完美,0.8889188344494479
白,0.4414693672408547
拥有,0.7714471366660114
不到,1.2774327022006178
名字,0.48900348161964385
集美,0.7983768861332126
帅帅帅,0.48320017930159165
五,1.0484008776026736
月亮,0.584591565981226
追星,0.9297705658185283
娱乐圈,0.9292865620504496
隔壁,0.8935283413452059
星星,0.7160673313395214
默默,1.154477474690807
支持,1.095136185221619
奇怪,0.6853551040036407
好丑,0.5252278854096563
确实,0.40290419450845094
此刻,0.4370544357092102
就算,0.9584349559317051
一如既往,0.6654272579585001
不会,0.7203370035041664
青春,0.5153019443395386
妈,0.5274335885831078
简直,0.6770577431103902
身边,1.0136236972868822
买,0.733892417115118
特效,0.5820901806198939
腰,0.6941341298004216
散发,1.0165939982205776
该死,0.615493351518198
向往,0.9033530004979584
下,0.5314078812401548
面,1.3154128919425414
颜色,0.9263367225690387
月,0.8669247766065857
发,0.9638212033256521
快乐,0.7230330058960177
抱抱,0.7624457506149968
喔,0.5996043479171924
不错,0.6491413985645476
小鼓掌,0.8385537039396367
爆,0.4367186109966604
两个,0.8217006262655916
问,0.9784773940093299
大家,0.9293930369012393
戴口罩,0.8419765560645476
小狗,0.8067094076568284
心爱,0.630377638136852
干嘛,0.8702025961751678
小迷妹,0.4972958802887492
如花,1.1667000685864197
别人,1.2825614584437743
草儿,0.886446043738574
老干部,0.4647252513470181
出门,1.0852464472226964
进来,0.4890643292219894
我能,0.8695226477161545
成功,0.5476447745998237
第一条,0.5191802147247766
不好,0.8811918273941373
回,0.9208919270027016
独特,0.656535438843974
干,0.47343662330990643
对象,0.8617832452256571
村里,0.7741989581560056
我会,0.9786787953130076
看过,0.7189571346404877
苗条,0.49205787215295116
有人,0.44651701797570104
细狗,0.5424469568669871
我活,0.596934055267955
